bbox,category_id,file_name,x_from,y_from,width,height,class
"[120, 51, 132, 44]",1,582.jpg,120,51,132,44,teeth
"[79, 64, 36, 33]",1,582.jpg,79,64,36,33,teeth
"[52, 91, 39, 55]",1,582.jpg,52,91,39,55,teeth
"[60, 201, 44, 55]",1,582.jpg,60,201,44,55,teeth
"[233, 198, 23, 58]",1,582.jpg,233,198,23,58,teeth
"[236, 103, 20, 37]",1,582.jpg,236,103,20,37,teeth
"[172, 137, 38, 26]",1,1200.jpg,172,137,38,26,teeth
"[191, 162, 25, 28]",1,1200.jpg,191,162,25,28,teeth
"[1, 1, 23, 82]",1,1200.jpg,1,1,23,82,teeth
"[188, 27, 49, 57]",1,1200.jpg,188,27,49,57,teeth
"[165, 1, 59, 33]",1,1200.jpg,165,1,59,33,teeth
"[1, 135, 30, 26]",1,1200.jpg,1,135,30,26,teeth
"[152, 125, 23, 21]",1,448.jpg,152,125,23,21,teeth
"[147, 147, 20, 11]",1,448.jpg,147,147,20,11,teeth
"[37, 122, 28, 21]",1,448.jpg,37,122,28,21,teeth
"[42, 143, 25, 14]",1,448.jpg,42,143,25,14,teeth
"[152, 1, 35, 40]",1,976.jpg,152,1,35,40,teeth
"[108, 1, 44, 45]",1,976.jpg,108,1,44,45,teeth
"[61, 1, 44, 51]",1,976.jpg,61,1,44,51,teeth
"[31, 1, 39, 81]",1,976.jpg,31,1,39,81,teeth
"[187, 9, 20, 44]",1,976.jpg,187,9,20,44,teeth
"[196, 45, 27, 27]",1,976.jpg,196,45,27,27,teeth
"[113, 55, 33, 22]",1,666.jpg,113,55,33,22,teeth
"[147, 56, 28, 22]",1,666.jpg,147,56,28,22,teeth
"[95, 61, 18, 13]",1,666.jpg,95,61,18,13,teeth
"[175, 67, 15, 14]",1,666.jpg,175,67,15,14,teeth
"[191, 155, 16, 15]",1,666.jpg,191,155,16,15,teeth
"[183, 171, 19, 15]",1,666.jpg,183,171,19,15,teeth
"[64, 146, 23, 32]",1,666.jpg,64,146,23,32,teeth
"[50, 48, 17, 9]",2,272.jpg,50,48,17,9,caries
"[165, 40, 17, 16]",2,272.jpg,165,40,17,16,caries
"[122, 35, 36, 10]",1,272.jpg,122,35,36,10,teeth
"[76, 37, 39, 9]",1,272.jpg,76,37,39,9,teeth
"[44, 48, 24, 17]",1,272.jpg,44,48,24,17,teeth
"[169, 105, 22, 15]",1,272.jpg,169,105,22,15,teeth
"[186, 18, 26, 14]",1,1060.jpg,186,18,26,14,teeth
"[137, 15, 47, 14]",1,1060.jpg,137,15,47,14,teeth
"[90, 19, 47, 8]",1,1060.jpg,90,19,47,8,teeth
"[62, 23, 27, 7]",1,1060.jpg,62,23,27,7,teeth
"[37, 34, 25, 31]",1,1060.jpg,37,34,25,31,teeth
"[155, 201, 30, 10]",1,1060.jpg,155,201,30,10,teeth
"[132, 203, 21, 14]",1,1060.jpg,132,203,21,14,teeth
"[101, 206, 30, 11]",1,1060.jpg,101,206,30,11,teeth
"[77, 198, 27, 14]",1,1060.jpg,77,198,27,14,teeth
"[206, 35, 19, 16]",1,1060.jpg,206,35,19,16,teeth
"[103, 96, 8, 4]",2,472.jpg,103,96,8,4,caries
"[94, 95, 28, 5]",1,472.jpg,94,95,28,5,teeth
"[83, 96, 10, 7]",1,472.jpg,83,96,10,7,teeth
"[129, 95, 26, 10]",1,205.jpg,129,95,26,10,teeth
"[156, 93, 25, 11]",1,205.jpg,156,93,25,11,teeth
"[115, 96, 12, 8]",1,205.jpg,115,96,12,8,teeth
"[182, 94, 11, 7]",1,205.jpg,182,94,11,7,teeth
"[221, 21, 35, 37]",1,1007.jpg,221,21,35,37,teeth
"[202, 1, 54, 32]",1,1007.jpg,202,1,54,32,teeth
"[217, 161, 32, 35]",1,1007.jpg,217,161,32,35,teeth
"[163, 152, 35, 23]",1,1198.jpg,163,152,35,23,teeth
"[160, 173, 34, 22]",1,1198.jpg,160,173,34,22,teeth
"[154, 195, 38, 29]",1,1198.jpg,154,195,38,29,teeth
"[155, 222, 26, 23]",1,1198.jpg,155,222,26,23,teeth
"[180, 55, 50, 56]",1,1198.jpg,180,55,50,56,teeth
"[150, 217, 36, 33]",2,1198.jpg,150,217,36,33,caries
"[213, 148, 43, 44]",1,863.jpg,213,148,43,44,teeth
"[194, 196, 62, 51]",1,863.jpg,194,196,62,51,teeth
"[199, 248, 57, 8]",1,863.jpg,199,248,57,8,teeth
"[117, 1, 43, 42]",1,983.jpg,117,1,43,42,teeth
"[77, 1, 39, 41]",1,983.jpg,77,1,39,41,teeth
"[54, 1, 22, 33]",1,983.jpg,54,1,22,33,teeth
"[19, 1, 36, 50]",1,983.jpg,19,1,36,50,teeth
"[159, 1, 31, 29]",1,983.jpg,159,1,31,29,teeth
"[178, 1, 39, 47]",1,983.jpg,178,1,39,47,teeth
"[30, 173, 38, 44]",1,983.jpg,30,173,38,44,teeth
"[39, 217, 38, 39]",1,983.jpg,39,217,38,39,teeth
"[187, 161, 38, 49]",1,983.jpg,187,161,38,49,teeth
"[174, 210, 34, 37]",1,983.jpg,174,210,34,37,teeth
"[170, 248, 34, 8]",1,983.jpg,170,248,34,8,teeth
"[182, 156, 48, 59]",2,983.jpg,182,156,48,59,caries
"[1, 125, 18, 24]",1,845.jpg,1,125,18,24,teeth
"[1, 148, 24, 29]",1,845.jpg,1,148,24,29,teeth
"[1, 177, 25, 19]",1,845.jpg,1,177,25,19,teeth
"[243, 125, 13, 21]",1,845.jpg,243,125,13,21,teeth
"[233, 147, 23, 29]",1,845.jpg,233,147,23,29,teeth
"[157, 17, 62, 71]",1,1106.jpg,157,17,62,71,teeth
"[146, 1, 46, 39]",1,1106.jpg,146,1,46,39,teeth
"[60, 1, 92, 27]",1,1106.jpg,60,1,92,27,teeth
"[1, 1, 60, 17]",1,1106.jpg,1,1,60,17,teeth
"[160, 145, 43, 28]",1,1106.jpg,160,145,43,28,teeth
"[170, 171, 29, 26]",1,1106.jpg,170,171,29,26,teeth
"[1, 148, 14, 30]",1,1106.jpg,1,148,14,30,teeth
"[152, 12, 72, 81]",2,1106.jpg,152,12,72,81,caries
"[169, 40, 29, 35]",1,950.jpg,169,40,29,35,teeth
"[126, 37, 45, 33]",1,950.jpg,126,37,45,33,teeth
"[78, 37, 47, 28]",1,950.jpg,78,37,47,28,teeth
"[54, 44, 26, 24]",1,950.jpg,54,44,26,24,teeth
"[40, 67, 32, 49]",1,950.jpg,40,67,32,49,teeth
"[190, 77, 25, 19]",1,950.jpg,190,77,25,19,teeth
"[199, 96, 18, 17]",1,950.jpg,199,96,18,17,teeth
"[61, 188, 26, 30]",1,950.jpg,61,188,26,30,teeth
"[199, 58, 18, 23]",1,950.jpg,199,58,18,23,teeth
